incident_id,project,environment,detected_at,resolved_at,detection_method,severity,root_cause_category,primary_symptom,sla_breached,impact_duration_minutes,impacted_requests,deployment_id,rollback_performed,retrain_triggered
INC-e09bddc2,energy_forecasting,prod,2024-01-02T06:00:00,2024-01-02T09:59:00,dashboard,SEV2,external_dependency,latency_spike,True,239,118,7f1f63c1-8fd3-480f-a593-c9f010f18514,False,False
INC-986b5265,energy_forecasting,prod,2024-01-02T08:00:00,2024-01-02T10:21:00,user_report,SEV2,infra_outage,latency_spike,True,141,46,7f1f63c1-8fd3-480f-a593-c9f010f18514,True,True
INC-b11e279d,energy_forecasting,prod,2024-01-02T18:00:00,2024-01-02T21:01:00,user_report,SEV3,external_dependency,latency_spike,True,181,404,7f1f63c1-8fd3-480f-a593-c9f010f18514,False,False
INC-26234363,fraud_detection,staging,2024-01-02T22:00:00,2024-01-02T22:32:00,alerting,SEV2,infra_outage,latency_spike,True,32,15,5b0dd5cd-8b8c-447d-8acd-091060a12735,True,False
INC-a0e2122f,energy_forecasting,prod,2024-01-02T21:00:00,2024-01-02T23:44:00,alerting,SEV2,infra_outage,latency_spike,True,164,125,7f1f63c1-8fd3-480f-a593-c9f010f18514,True,False
INC-8f22c2a1,energy_forecasting,prod,2024-01-03T08:00:00,2024-01-03T13:55:00,user_report,SEV2,external_dependency,latency_spike,True,355,113,7f1f63c1-8fd3-480f-a593-c9f010f18514,True,True
INC-458ec550,energy_forecasting,prod,2024-01-03T19:00:00,2024-01-03T22:24:00,alerting,SEV2,external_dependency,latency_spike,True,204,155,7f1f63c1-8fd3-480f-a593-c9f010f18514,False,False
INC-cf59533a,energy_forecasting,prod,2024-01-04T20:00:00,2024-01-05T01:05:00,dashboard,SEV2,external_dependency,latency_spike,True,305,431,7f1f63c1-8fd3-480f-a593-c9f010f18514,False,False
INC-c0cd7a64,energy_forecasting,dev,2024-01-06T08:00:00,2024-01-06T10:33:00,user_report,SEV3,external_dependency,latency_spike,True,153,6,d569f6f8-ea6f-420b-9bfd-65e04139617a,False,True
INC-3c21c113,energy_forecasting,dev,2024-01-06T19:00:00,2024-01-06T21:39:00,alerting,SEV2,external_dependency,latency_spike,True,159,5,d569f6f8-ea6f-420b-9bfd-65e04139617a,True,True
INC-811bc5e8,energy_forecasting,dev,2024-01-06T22:00:00,2024-01-06T23:30:00,user_report,SEV1,external_dependency,latency_spike,True,90,3,d569f6f8-ea6f-420b-9bfd-65e04139617a,False,False
INC-5f5d31a1,fraud_detection,dev,2024-01-06T23:00:00,2024-01-07T02:36:00,alerting,SEV1,external_dependency,latency_spike,True,216,3,b3e1e93a-d123-4125-96e5-25a857103484,False,False
INC-f74ada81,energy_forecasting,dev,2024-01-07T07:00:00,2024-01-07T08:29:00,dashboard,SEV1,external_dependency,latency_spike,True,89,6,d569f6f8-ea6f-420b-9bfd-65e04139617a,False,True
INC-6c0cce35,fraud_detection,dev,2024-01-07T08:00:00,2024-01-07T11:30:00,user_report,SEV1,infra_outage,latency_spike,True,210,8,b3e1e93a-d123-4125-96e5-25a857103484,True,False
INC-3be9c48e,energy_forecasting,dev,2024-01-07T11:00:00,2024-01-07T13:57:00,user_report,SEV1,external_dependency,latency_spike,True,177,7,d569f6f8-ea6f-420b-9bfd-65e04139617a,False,True
INC-2800d7b9,fraud_detection,dev,2024-01-07T11:00:00,2024-01-07T14:41:00,dashboard,SEV3,external_dependency,latency_spike,True,221,2,b3e1e93a-d123-4125-96e5-25a857103484,True,True
INC-bfd6d2fa,fraud_detection,dev,2024-01-07T13:00:00,2024-01-07T16:57:00,alerting,SEV1,external_dependency,latency_spike,True,237,5,b3e1e93a-d123-4125-96e5-25a857103484,False,False
